year,team,seed,finish,opponent,score
1984,Southern California,1,1,,
1984,Tennessee,3,2,,
1984,Cheyney,3,4,,
1984,Louisiana Tech,1,4,,
1984,Georgia,1,8,,
1984,Long Beach St.,2,8,,
1984,Old Dominion,1,8,,
1984,Texas,2,8,,
1984,Alabama,2,16,,
1984,La.-Monroe,6,16,,
1984,LSU,5,16,,
1984,Montana,4,16,,
1984,NC State,4,16,,
1984,North Carolina,2,16,,
1984,Ole Miss,4,16,,
1984,San Diego St.,6,16,,
1984,BYU,8,64,,
1984,Central Mich.,7,64,,
1984,Drake,7,64,,
1984,Kansas St.,3,64,,
1984,Louisville,5,64,,
1984,Maryland,6,64,,
1984,Middle Tenn.,6,64,,
1984,Missouri,4,64,,
1984,Ohio St.,5,64,,
1984,Oregon,3,64,,
1984,Oregon St.,5,64,,
1984,Penn St.,8,64,,
1984,St. John's (NY),7,64,,
1984,Texas Tech,8,64,,
1984,UNLV,7,64,,
1984,Virginia,5,64,,
1985,Old Dominion,1,1,,
1985,Georgia,2,2,,
1985,La.-Monroe,2,4,,
1985,Western Ky.,4,4,,
1985,Long Beach St.,1,8,,
1985,Louisiana Tech,1,8,,
1985,Ohio St.,2,8,,
1985,Ole Miss,2,8,,
1985,Auburn,3,16,,
1985,NC State,4,16,,
1985,Penn St.,3,16,,
1985,San Diego St.,5,16,,
1985,Southern California,4,16,,
1985,Tennessee,3,16,,
1985,Texas,1,16,,
1985,UCLA,6,16,,
1985,BYU,8,64,,
1985,Holy Cross,7,64,,
1985,Idaho,5,64,,
1985,Illinois St.,8,64,,
1985,Memphis,6,64,,
1985,Middle Tenn.,5,64,,
1985,Missouri,7,64,,
1985,North Carolina,6,64,,
1985,Saint Joseph's,5,64,,
1985,Southern Miss.,7,64,,
1985,Syracuse,8,64,,
1985,Tennessee Tech,7,64,,
1985,UNLV,4,64,,
1985,Virginia,6,64,,
1985,Washington,3,64,,
1985,Western Mich.,8,64,,
1986,Texas,1,1,,
1986,Southern California,1,2,,
1986,Tennessee,4,4,,
1986,Western Ky.,4,4,,
1986,Louisiana Tech,2,8,,
1986,LSU,2,8,,
1986,Ole Miss,2,8,,
1986,Rutgers,2,8,,
1986,Auburn,3,16,,
1986,Georgia,1,16,,
1986,James Madison,8,16,,
1986,Long Beach St.,3,16,,
1986,North Carolina,4,16,,
1986,Ohio St.,3,16,,
1986,Oklahoma,4,16,,
1986,Penn St.,3,16,,
1986,Drake,10,32,,
1986,Illinois,8,32,,
1986,Iowa,5,32,,
1986,Maryland,6,32,,
1986,Middle Tenn.,10,32,,
1986,Missouri,9,32,,
1986,Montana,8,32,,
1986,NC State,6,32,,
1986,Saint Joseph's,5,32,,
1986,Southern Ill.,6,32,,
1986,Texas Tech,6,32,,
1986,UNLV,5,32,,
1986,Vanderbilt,5,32,,
1986,Villanova,7,32,,
1986,Virginia,1,32,,
1986,Washington,7,32,,
1986,Arkansas,8,64,,
1986,Kentucky,7,64,,
1986,La Salle,10,64,,
1986,North Texas,10,64,,
1986,Ohio,9,64,,
1986,Providence,9,64,,
1986,South Carolina,7,64,,
1986,Utah,9,64,,
1987,Tennessee,2,1,,
1987,Louisiana Tech,1,2,,
1987,Long Beach St.,1,4,,
1987,Texas,1,4,,
1987,Auburn,1,8,,
1987,Iowa,3,8,,
1987,Ohio St.,2,8,,
1987,Rutgers,2,8,,
1987,Georgia,2,16,,
1987,James Madison,4,16,,
1987,NC State,3,16,,
1987,Old Dominion,5,16,,
1987,Ole Miss,4,16,,
1987,Southern California,3,16,,
1987,Southern Ill.,5,16,,
1987,Virginia,3,16,,
1987,Duke,7,32,,
1987,Illinois,8,32,,
1987,Kansas,7,32,,
1987,LSU,4,32,,
1987,Memphis,6,32,,
1987,New Orleans,6,32,,
1987,North Carolina,4,32,,
1987,Northwestern,9,32,,
1987,Oregon,7,32,,
1987,Penn St.,5,32,,
1987,Saint Joseph's,9,32,,
1987,Tennessee Tech,7,32,,
1987,Vanderbilt,5,32,,
1987,Villanova,6,32,,
1987,Washington,8,32,,
1987,Western Ky.,6,32,,
1987,Bowling Green,9,64,,
1987,Eastern Wash.,10,64,,
1987,Kansas St.,8,64,,
1987,Manhattan,10,64,,
1987,New Mexico St.,9,64,,
1987,Northwestern St.,10,64,,
1987,South Alabama,8,64,,
1987,Southern Miss.,10,64,,
1988,Louisiana Tech,2,1,,
1988,Auburn,1,2,,
1988,Long Beach St.,2,4,,
1988,Tennessee,1,4,,
1988,Iowa,1,8,,
1988,Maryland,2,8,,
1988,Texas,1,8,,
1988,Virginia,2,8,,
1988,Georgia,4,16,,
1988,James Madison,4,16,,
1988,Ohio St.,3,16,,
1988,Ole Miss,3,16,,
1988,Rutgers,3,16,,
1988,Southern California,4,16,,
1988,Stanford,5,16,,
1988,Washington,3,16,,
1988,Clemson,5,32,,
1988,Colorado,7,32,,
1988,Houston,6,32,,
1988,Kansas,7,32,,
1988,Montana,4,32,,
1988,Nebraska,5,32,,
1988,New Mexico St.,6,32,,
1988,Old Dominion,6,32,,
1988,Penn St.,9,32,,
1988,Saint Joseph's,7,32,,
1988,SFA,8,32,,
1988,South Carolina,8,32,,
1988,St. John's (NY),7,32,,
1988,Syracuse,6,32,,
1988,Wake Forest,9,32,,
1988,Western Ky.,5,32,,
1988,Alabama,9,64,,
1988,Bowling Green,10,64,,
1988,Eastern Ill.,10,64,,
1988,Fairfield,10,64,,
1988,La Salle,8,64,,
1988,LSU,9,64,,
1988,Middle Tenn.,10,64,,
1988,Villanova,8,64,,
1989,Tennessee,1,1,,
1989,Auburn,1,2,,
1989,Louisiana Tech,1,4,,
1989,Maryland,1,4,,
1989,Long Beach St.,2,8,,
1989,Ole Miss,3,8,,
1989,Stanford,2,8,,
1989,Texas,2,8,,
1989,Clemson,4,16,,
1989,Iowa,3,16,,
1989,LSU,4,16,,
1989,NC State,2,16,,
1989,Ohio St.,3,16,,
1989,SFA,4,16,,
1989,UNLV,6,16,,
1989,Virginia,4,16,,
1989,Bowling Green,9,32,,
1989,Colorado,3,32,,
1989,Georgia,5,32,,
1989,Illinois St.,7,32,,
1989,James Madison,6,32,,
1989,La Salle,9,32,,
1989,Montana,10,32,,
1989,Oklahoma St.,9,32,,
1989,Old Dominion,6,32,,
1989,Purdue,5,32,,
1989,Rutgers,7,32,,
1989,Saint Joseph's,10,32,,
1989,Temple,8,32,,
1989,Tennessee Tech,11,32,,
1989,Washington,5,32,,
1989,West Virginia,12,32,,
1989,Arkansas,12,64,,
1989,Cal St. Fullerton,7,64,,
1989,Chattanooga,12,64,,
1989,Cincinnati,8,64,,
1989,Hawaii,12,64,,
1989,Holy Cross,9,64,,
1989,Miami (FL),8,64,,
1989,Northwestern St.,10,64,,
1989,Providence,11,64,,
1989,South Carolina,6,64,,
1989,Southern Miss.,10,64,,
1989,UConn,8,64,,
1989,Utah,11,64,,
1989,Vanderbilt,7,64,,
1989,Villanova,11,64,,
1989,Western Ky.,5,64,,
1990,Stanford,1,1,,
1990,Auburn,2,2,,
1990,Louisiana Tech,1,4,,
1990,Virginia,2,4,,
1990,Arkansas,7,8,,
1990,Tennessee,1,8,,
1990,Texas,3,8,,
1990,Washington,1,8,,
1990,Clemson,5,16,,
1990,NC State,2,16,,
1990,Ole Miss,5,16,,
1990,Providence,3,16,,
1990,Purdue,4,16,,
1990,SFA,3,16,,
1990,South Carolina,5,16,,
1990,Vanderbilt,6,16,,
1990,DePaul,8,32,,
1990,Georgia,2,32,,
1990,Hawaii,9,32,,
1990,Iowa,3,32,,
1990,Long Beach St.,6,32,,
1990,Maryland,6,32,,
1990,Michigan,10,32,,
1990,Northern Ill.,5,32,,
1990,Northwestern,4,32,,
1990,Ohio St.,6,32,,
1990,Old Dominion,8,32,,
1990,Penn St.,7,32,,
1990,Southern Miss.,8,32,,
1990,Tennessee Tech,7,32,,
1990,UConn,4,32,,
1990,UNLV,4,32,,
1990,Appalachian St.,11,64,,
1990,Bowling Green,12,64,,
1990,California,11,64,,
1990,Florida St.,10,64,,
1990,LSU,9,64,,
1990,Manhattan,12,64,,
1990,Montana,8,64,,
1990,Oklahoma St.,7,64,,
1990,Richmond,10,64,,
1990,Rutgers,11,64,,
1990,Saint Joseph's,9,64,,
1990,Southern Ill.,11,64,,
1990,Texas Tech,12,64,,
1990,UCLA,10,64,,
1990,Utah,12,64,,
1990,Western Ky.,9,64,,
1991,Tennessee,1,1,,
1991,Virginia,1,2,,
1991,Stanford,2,4,,
1991,UConn,3,4,,
1991,Auburn,3,8,,
1991,Clemson,4,8,,
1991,Georgia,1,8,,
1991,Lamar,10,8,,
1991,Arkansas,3,16,,
1991,James Madison,8,16,,
1991,Long Beach St.,4,16,,
1991,NC State,2,16,,
1991,Oklahoma St.,5,16,,
1991,Vanderbilt,10,16,,
1991,Washington,3,16,,
1991,Western Ky.,4,16,,
1991,Cal St. Fullerton,7,32,,
1991,Florida St.,5,32,,
1991,George Washington,10,32,,
1991,Holy Cross,11,32,,
1991,Iowa,6,32,,
1991,LSU,2,32,,
1991,Michigan St.,4,32,,
1991,Missouri St.,8,32,,
1991,Northwestern,6,32,,
1991,Penn St.,1,32,,
1991,Providence,5,32,,
1991,Purdue,2,32,,
1991,SFA,8,32,,
1991,Southern California,5,32,,
1991,Toledo,11,32,,
1991,UNLV,8,32,,
1991,Appalachian St.,12,64,,
1991,DePaul,12,64,,
1991,Fairfield,12,64,,
1991,Kentucky,9,64,,
1991,Louisiana Tech,10,64,,
1991,Maryland,6,64,,
1991,Montana,11,64,,
1991,Ole Miss,9,64,,
1991,Richmond,7,64,,
1991,Rutgers,6,64,,
1991,South Carolina,7,64,,
1991,Tennessee Tech,9,64,,
1991,Texas,7,64,,
1991,Texas Tech,9,64,,
1991,Utah,12,64,,
1991,Washington St.,11,64,,
1992,Stanford,1,1,,
1992,Western Ky.,4,2,,
1992,Missouri St.,8,4,,
1992,Virginia,1,4,,
1992,Maryland,2,8,,
1992,Ole Miss,2,8,,
1992,Southern California,3,8,,
1992,Vanderbilt,3,8,,
1992,Miami (FL),2,16,,
1992,Penn St.,3,16,,
1992,Purdue,3,16,,
1992,SFA,2,16,,
1992,Tennessee,1,16,,
1992,Texas Tech,4,16,,
1992,UCLA,5,16,,
1992,West Virginia,4,16,,
1992,Alabama,5,32,,
1992,Clemson,5,32,,
1992,Creighton,7,32,,
1992,DePaul,11,32,,
1992,George Washington,8,32,,
1992,Iowa,1,32,,
1992,Montana,11,32,,
1992,North Carolina,7,32,,
1992,Northern Ill.,11,32,,
1992,Rutgers,8,32,,
1992,Santa Clara,12,32,,
1992,Southern Ill.,10,32,,
1992,Texas,4,32,,
1992,Toledo,10,32,,
1992,UC Santa Barbara,9,32,,
1992,UConn,6,32,,
1992,Arizona St.,6,64,,
1992,California,5,64,,
1992,Chattanooga,12,64,,
1992,Colorado,7,64,,
1992,Houston,8,64,,
1992,Kansas,9,64,,
1992,Long Beach St.,10,64,,
1992,Louisiana Tech,6,64,,
1992,Notre Dame,12,64,,
1992,Old Dominion,10,64,,
1992,Providence,7,64,,
1992,Saint Peter's,11,64,,
1992,Southern Miss.,9,64,,
1992,Tennessee Tech,12,64,,
1992,Vermont,9,64,,
1992,Wisconsin,6,64,,
1993,Texas Tech,2,1,,
1993,Ohio St.,1,2,,
1993,Iowa,2,4,,
